Year,Fund Code,Dept Number,Appropriation Authority,Description,Previous Year Grant,Anticipated Grant,Carryover,Year Total
2015,2960,041,0H82,Mosquito Vector Prevention Program (Tire Funds),,525000,,525000
2015,2705,041,0H01,Public Health Infrastructure (Component I),46000,,,
2015,2721,041,0H55,Resource Conservation,,150000,,150000
2015,2721,041,0H26,Resource Conservation,150000,,,
2015,2728,041,0H57,Ryan White HIV Care Act C - Early Intervention Services,,478000,,478000
2015,2728,041,0H22,Ryan White HIV Care Act C - Early Intervention Services,508000,,,
2015,2806,041,0562,Ryan White HIV Care Act Title I,1580000,,886000,886000
2015,2731,041,0H60,Ryan White Hiv Care Act Part A - Emergency Relief,,27261000,,27261000
2015,2731,041,0H35,Ryan White Hiv Care Act Part A - Emergency Relief,27262192,,1107000,1107000
2015,2736,041,0H46,School Based Health Centers and Health Insurance Enrollment,700000,,,
2015,2814,041,0H09,Sexually Transmitted Disease Prevention,2158000,,400000,400000
2015,2814,041,0H65,Sexually Transmitted Disease Prevention,,2158000,,2158000
2015,2735,041,0H47,Smiles Across America,10000,,,
2015,2722,041,0H56,Solid Waste Management,,185000,,185000
2015,2722,041,0648,Solid Waste Management,236000,,,
2015,2722,041,0H39,Solid Waste Management,143000,,,
2015,2936,041,0H38,Substance Abuse Treatment,666000,,,
2015,2936,041,0H81,Substance Abuse Treatment,,666000,,666000
2015,2984,041,0071,Summer Food Program,18000,,18000,18000
2015,2984,041,0H84,Summer Food Program,,75000,,75000
2015,2984,041,0H12,Summer Food Program,75000,,10000,10000
2015,2878,041,0H13,Tanning Facilities Inspections,11000,,,
2015,2878,041,0H74,Tanning Facilities Inspections,,11000,,11000
2015,2878,041,0071,Tanning Facilities Inspections,29000,,29000,29000
2015,2998,041,0071,Tattoo and Body Art Piercing Inspection,27000,,27000,27000
2015,2998,041,0H85,Tattoo and Body Art Piercing Inspection,,24000,,24000
2015,2998,041,0H14,Tattoo and Body Art Piercing Inspection,24000,,,
2015,2702,041,0352,Teen Pregnancy Prevention - Chicago Public Schools,364000,381000,,381000
2015,2868,041,0H40,Tobacco Free Communities,1274000,,,
2015,2868,041,0H72,Tobacco Free Communities,,1259000,,1259000
2015,2725,041,0H06,Translation Research Program,135000,55000,135000,190000
2015,2824,041,0H68,Tuberculosis Control,,1177000,,1177000
2015,2824,041,0H31,Tuberculosis Control,1177000,,,
2015,2720,041,0H54,Underground Storage Tank Inspection,,558000,,558000
2015,2720,041,0H08,Underground Storage Tank Inspection,550000,,,
2015,2808,041,0H63,"Women, Infants and Children Nutrition",,5019000,,5019000
2015,2808,041,0K46,"Women, Infants and Children Nutrition",5019000,,,
2015,2808,041,0J41,Community Development Block Grant,12138637,11926768,,11926768
2015,2808,041,0J41,Total - 041 - Department of Public Health,125994143,105212395,12819000,118031395
2015,,045,0J41,Community Development Block Grant,1059809,1148357,,1148357
2015,,045,0J41,Total - 045 - Commission on Human Relations,1059809,1148357,,1148357
2015,2802,048,0819,Access Chicago Support,76000,45000,,45000
2015,2800,048,0833,Amplified Phones Program (Itac/Tty),57000,12000,54000,66000
2015,2817,048,0833,Disabled Youth Employment Program,20000,7000,11000,18000
2015,2807,048,0819,Home Modification Program - Chicago Fund Support,205000,70000,90000,160000
2015,2804,048,0833,Illustrated Guide,25000,,25000,25000
2015,2830,048,0833,MOPD Special Initiatives Support,34000,,10000,10000
2015,2805,048,0J51,Substance Abuse and AIDS Prevention for the Hearing Impaired,,209000,,209000
2015,2805,048,0J09,Substance Abuse and AIDS Prevention for the Hearing Impaired,209000,,,
2015,2812,048,0J19,Work Incentive Planning and Assistance,237000,,,
2015,2812,048,0J52,Work Incentive Planning and Assistance,,237000,,237000
2015,2812,048,0J41,Community Development Block Grant,2926048,3096915,,3096915
2015,2812,048,0J41,Total - 048 - Mayor's Office for People with Disabilities,3789048,3676915,190000,3866915
2015,2904,050,0N40,Area Plan on Aging - Older Americans Act - Federal,,12606000,,12606000
2015,2904,050,0J06,Area Plan on Aging - Older Americans Act - Federal,13649000,,511000,511000
2015,2903,050,0J06,Area Plan on Aging - Older Americans Act - State,4909000,,,
2015,2903,050,0N39,Area Plan on Aging - Older Americans Act - State,,4696000,,4696000
2015,2948,050,0P38,Benefits Systems Change,50000,,,
2015,2896,050,0N60,CHA Family Supportive Services,,1759000,,1759000
2015,2896,050,0N29,CHA Family Supportive Services,1759000,,,
2015,2923,050,0N61,Chicago Domectic Violence Help Line,,364000,,364000
2015,2923,050,0N33,Chicago Domectic Violence Help Line,364000,,,
2015,2901,050,0P41,Chicago Fund Support - Senior Services,50000,50000,,50000
2015,2943,050,0N21,Child Care Services,25875415,,,
2015,2943,050,0N63,Child Care Services,,25503501,,25503501
2015,2951,050,0N70,Colbert Consent Decree,,171000,,171000
2015,2951,050,0N72,Colbert Consent Decree,171000,,,
2015,2805,050,0N25,Community Services Block Grant,11622000,,2773000,2773000
2015,2805,050,0N36,Community Services Block Grant,,11250000,,11250000
2015,2857,050,0N52,Early Head Start Initiative,,7262000,,7262000
2015,2857,050,0N26,Early Head Start Initiative,6512000,,,
2015,2846,050,0N51,Elder Abuse and Neglect,,2853000,,2853000
2015,2846,050,0J02,Elder Abuse and Neglect,2853000,,,
2015,2944,050,0N24,Emergency Solutions,5999000,,,
2015,2944,050,0N37,Emergency Solutions,,5856025,,5856025
2015,2942,050,0N35,Emergency and Transitional Housing,,4814000,,4814000
2015,2942,050,0N19,Emergency and Transitional Housing,4814000,,,
2015,2952,050,0N34,Enumeration of Homeless Veterans - Point in Time,63000,,,
2015,2815,050,0P97,Foster Grandparents,541000,,,
2015,2815,050,0N44,Foster Grandparents,,541000,,541000
2015,2925,050,0P36,Foster Grandparents - Program Income (Agency MATCH),134000,134000,,134000
2015,2968,050,0N28,Generic Prevention Domestic Violence,181000,,,
2015,2968,050,0N66,Generic Prevention Domestic Violence,,181000,,181000
2015,2860,050,0N27,Head Start,121024102,,,
2015,2860,050,0N54,Head Start,,121823037,,121823037
2015,2836,050,0J03,Long Term Care Ombudsman Program - CMP,117000,,,
2015,2836,050,0N47,Long Term Care Ombudsman Program - CMP,,117000,,117000
2015,2820,050,0N46,Longterm Care System Development,,56000,,56000
2015,2820,050,0P93,Longterm Care System Development,56000,,,
2015,2937,050,0N79,Medicare Improvements for Patients and Providers Act,123000,,,
2015,2919,050,0N77,Money Follows the Person - Long Term Care,33000,,,
2015,2801,050,0P40,OAA Nutrition Program Income - Congregate Meals,498000,700000,,700000
2015,2802,050,0P40,OAA Nutrition Program Income - Home Delivered Meals,40000,25000,,25000
2015,2807,050,0P99,OAA Title V / Senior Community Service Employment,848000,,,
2015,2807,050,0N42,OAA Title V / Senior Community Service Employment,,948000,,948000
2015,2940,050,0N15,One Summer Chicago Plus,500000,250000,,250000
2015,2932,050,0P38,Relatives Raising Children,30000,,,
2015,2932,050,0N67,Relatives Raising Children,,30000,,30000
2015,2828,050,0P95,Resident Services Coordination / Case Management,2200000,,,
2015,2828,050,0N49,Resident Services Coordination / Case Management,,2200000,,2200000
2015,2831,050,0272,Safe Havens - Supervised Visitation,500000,,368000,368000
2015,2910,050,0074,Senior Citizens Picnic Support,25000,25000,,25000
2015,2868,050,0N56,Senior Companion Project - Action,,222413,,222413
2015,2868,050,0P98,Senior Companion Project - Action,272000,,,
2015,2816,050,0P41,Senior Fitness Private,25000,25000,,25000
2015,2946,050,0J04,Senior Health Assistance Program,315000,,,
2015,2946,050,0N65,Senior Health Assistance Program,,302000,,302000
2015,2928,050,0N62,Senior Health Insurance Program,,62000,,62000
2015,2928,050,0J05,Senior Health Insurance Program,54000,,,
2015,2945,050,0P96,Senior Medicare Patrol,22000,,,
2015,2837,050,0529,Senior Program Private Contributions,600000,300000,300000,600000
2015,2827,050,0N48,Services to Victims of Domestic Violence,,238000,,238000
2015,2827,050,0N20,Services to Victims of Domestic Violence,238000,,,
2015,2938,050,0N22,Shelter Plus Care,13845000,,12000000,12000000
2015,2927,050,0869,Shelter Plus Care,380000,,334000,334000
2015,2936,050,0869,Shelter Plus Care,262000,,215000,215000
2015,2938,050,0N53,Shelter Plus Care,,14022000,,14022000
2015,2938,050,0869,Shelter Plus Care,12941000,,3307000,3307000
2015,2849,050,0869,Shelter Plus Care - HUD 2008,750000,,724000,724000
2015,2888,050,0869,Shelter Plus Grant - 2009,2034000,,2034000,2034000
2015,2818,050,0N45,State Foster Grandparents,,37000,,37000
2015,2818,050,0J21,State Foster Grandparents,37000,,,
2015,2803,050,0P36,State Senior Companion MATCH,20000,20000,,20000
2015,2862,050,0N55,State Senior Employment Specialist,,25000,,25000
2015,2862,050,0J01,State Senior Employment Specialist,22000,,,
2015,2870,050,0N23,Summer Food Service,1367000,,,
2015,2870,050,0N58,Summer Food Service,,1907000,,1907000
2015,2953,050,0N69,Summer Jobs Connect Program,760000,760000,,760000
2015,2873,050,0P94,Title XX Donated Funds,1101000,,,
2015,2873,050,0N59,Title XX Donated Funds,,1200000,,1200000
2015,2918,050,0P61,Veterans Directed Home and Community Based Services Programs,2276000,,,
2015,2822,050,0168,Warming Center Program - Service Tax Trust Fund,14000,15000,,15000
2015,2822,050,0J41,Community Development Block Grant,26430407,25537715,,25537715
2015,2822,050,0J41,Total - 050 - Department of Family and Support Services,269305924,248887691,22566000,271453691
2015,2895,091,0J20,Illinois Library Development - Per Capita and Area,7310000,,,
2015,2895,091,0J54,Illinois Library Development - Per Capita and Area,,7310000,,7310000
2015,2813,091,0815,Independence Branch Capital,275000,,275000,275000
2015,2845,091,0898,Patron Driven Acquisitions,275000,275000,,275000
2015,2842,091,0815,State Capital Construction Program,9935000,,9935000,9935000
2015,2844,091,0J22,Subregional Library for Blind and Physically Handicapped - Talking Book Center,579000,,,
2015,2844,091,0J53,Subregional Library for Blind and Physically Handicapped - Talking Book Center,,580000,,580000
2015,2846,091,0J66,Woodson Branch Construction,,832000,,832000
2015,2846,091,0J66,Total - 091 - Chicago Public Library,18374000,8997000,10210000,19207000
2015,2846,091,0J66,Total - Community Services,418522924,367922358,45785000,413707358
2015,2973,057,0K67,Altgeld-Riverside Community (ARC) Partnership,35000,35000,,35000
2015,2816,057,0657,Asset Forfeiture - Federal,117000,353000,,353000
2015,2816,057,0B17,Asset Forfeiture - Federal,2792000,4839000,,4839000
2015,2817,057,0191,Asset Forfeiture - State,2213000,2220000,,2220000
2015,2835,057,0094,Building Safe Blocks Initiative,161000,,,
2015,2808,057,0K57,Bulletproof Vests Partnership - BJA,,200000,,200000
2015,2808,057,0J11,Bulletproof Vests Partnership - BJA,29000,,,
2015,2946,057,0P42,Byrne Memorial Justice Assistance,1000000,,,
2015,2983,057,0P84,COPS Hiring Program,3065000,,2360000,2360000
2015,2997,057,0K55,COPS Hiring Program,1875000,,1145000,1145000
2015,2983,057,0K62,COPS Hiring Program,,3125000,,3125000
2015,2975,057,0P19,COPS Secure Our Schools,498000,,175000,175000
2015,2998,057,0K66,Chicago Juvenile Justice Council,40000,90000,40000,130000
2015,2985,057,0P68,Edward Byrne Memorial Justice Assistance Grant (JAG),8948000,,5200000,5200000
2015,2996,057,0K65,Edward Byrne Memorial Justice Assistance Grant (JAG),,7571000,,7571000
2015,2978,057,0P55,Edward Byrne Memorial Justice Assistance Grant (JAG),1200000,,1200000,1200000
2015,2902,057,0P19,FY2007 COPS Methamphetamine Initiative,65000,,65000,65000
2015,2972,057,0P19,Gang Resistance and Education Training,70000,,40000,40000
2015,2999,057,0K76,Get Behind The Vest,1000000,1000000,,1000000
2015,2968,057,0K61,IDOT Sustained Traffic Enforcement Program (Step),,342000,,342000
2015,2968,057,0J12,IDOT Sustained Traffic Enforcement Program (Step),340000,,,
2015,2987,057,0J16,Injury Prevention,137000,,,
2015,2987,057,0K63,Injury Prevention,,137000,,137000
2015,2935,057,0P19,Justice and Mental Health,,198000,,198000
2015,2948,057,0K60,Juvenile Block Grant,,190000,,190000
2015,2948,057,0P19,Juvenile Block Grant,100000,,,
2015,2948,057,0J13,Juvenile Block Grant,190000,,120000,120000
2015,2995,057,0K64,Local Alcohol Program,,525000,,525000
2015,2995,057,0J07,Local Alcohol Program,1007000,,,
2015,2882,057,0P04,National Explosives Detection Canine Team Program,758000,758000,,758000
2015,280A,057,0K83,Paul Coverdell Forensic Science Improvement,161000,,,
2015,2953,057,0P19,Predictive Policing,2500000,500000,500000,1000000
2015,2854,057,0094,Public Safety Private Support,100000,210000,72000,282000
2015,2912,057,0P19,Safe Routes to Schools,100000,82000,55000,137000
2015,2925,057,0P19,Secure Our Schools 2008,65000,,25000,25000
2015,2961,057,0P19,Solving Cold Cases with DNA,480000,300000,190000,490000
2015,2921,057,0P04,Transit Security,2433000,,444000,444000
2015,2980,057,0P46,Transit Security,6672000,,5460000,5460000
2015,2921,057,0K59,Transit Security,,5999000,,5999000
2015,2934,057,0P46,Transit Security Grant,6531000,,3231000,3231000
2015,2976,057,0P46,Transit Security Grant Program,3496000,,,
2015,2844,057,0J08,Violence Against Women - Domestic Violence Protection,207000,,,
2015,2844,057,0K58,Violence Against Women - Domestic Violence Protection,,207000,,207000
2015,2844,057,0824,Violence Against Women - Domestic Violence Protection,103000,,103000,103000
2015,2844,057,0J41,Community Development Block Grant,2265108,,,
2015,2844,057,0J41,Total - 057 - Department of Police,50753108,28881000,20425000,49306000
2015,2826,058,0M02,ComEd - Weather Emergency Grant,47000,,47000,47000
2015,2820,058,0K69,Emergency Management Assistance,,550000,,550000
2015,2820,058,0N30,Emergency Management Assistance,514000,,,
2015,2888,058,0M11,Hazard Mitigation,442000,,442000,442000
2015,2884,058,0M14,Metropolitan Medical Response System,282000,,,
2015,2835,058,0M02,Nextel Frequency Reconfiguration Project,493000,,493000,493000
2015,2831,058,0N32,Port Security Grant,402000,,402000,402000
2015,2831,058,0M39,Port Security Grant,169000,,,
2015,2831,058,0K70,Port Security Grant,,4000000,,4000000
2015,2885,058,0M14,Regional Catastrophic Preparedness,959000,,,
2015,2855,058,0783,Traffic Management Authority Control Aides,,230000,,230000
2015,2890,058,0M14,Urban Areas Security Initiative,20000000,,,
2015,2883,058,0M14,Urban Areas Security Initiative,10000000,,,
2015,2811,058,0K68,Urban Areas Security Initiative - Phse 3 (ODP),,45000000,,45000000
2015,2811,058,0N31,Urban Areas Security Initiative - Phse 3 (ODP),39845000,,39743105,39743105
2015,2811,058,0M39,Urban Areas Security Initiative - Phse 3 (ODP),37727783,,25000000,25000000
2015,2893,058,0M14,Video Surveillance Network,1000000,,30000,30000
2015,2893,058,0M14,Total - 058 - Office of Emergency Management and Communications,111880783,49780000,66157105,115937105
2015,2812,059,0790,Assistance to Fire Fighters,107000,,,
2015,2812,059,0J18,Assistance to Fire Fighters,,2750000,,2750000
2015,2810,059,0825,Fire Academy Training and Improvement,2260000,2481000,2260000,4741000
2015,2810,059,0825,Total - 059 - Fire Department,2367000,5231000,2260000,7491000
2015,2810,059,0825,Total - Public Safety,165000891,83892000,88842105,172734105
2015,2802,067,0J62,Abandoned Residential Property Municipality Relief Program,2046000,,,
2015,2880,067,0J63,Community Development Block Grant - Disaster Recovery,1500000,,1500000,1500000
2015,2880,067,0J41,Community Development Block Grant,9546065,6640630,,6640630
2015,2880,067,0J41,Total - 067 - Department of Buildings,13092065,6640630,1500000,8140630
2015,2815,070,0P20,Cable Local Origination,427000,427000,,427000
2015,2801,070,0J59,Tobacco Enforcement Grant,,412000,,412000
2015,2801,070,0K52,Tobacco Enforcement Grant,558000,,79000,79000
2015,2801,070,0K52,Total - 070 - Department of Business Affairs and Consumer Protection,985000,839000,79000,918000
2015,2807,073,0P21,Dog Pavilion Renovation,2000000,,,
2015,2805,073,0P21,Dog Rescue Project,10000,,,
2015,2805,073,0P21,Total - 073 - Commission on Animal Care and Control,2010000,,,
2015,2805,073,0P21,Total - Regulatory,16087065,7479630,1579000,9058630
2015,,081,0J41,Community Development Block Grant,6000000,7600000,,7600000
2015,,081,0J41,Total - 081 - Department of Streets and Sanitation,6000000,7600000,,7600000
2015,0S55,084,2954,ARRA - Chicago Alternative Fuels,436000,,436000,436000
2015,0S51,084,2952,ARRA - Urban and Community Forestry Program,421000,,,
2015,2989,084,0L20,Albany Park Stormwater Diversion Tunnel,1170000,,,
2015,2801,084,0M55,Arterial Streets - IDOT,32629000,,,
2015,2801,084,0597,Arterial Streets - IDOT,14760000,,,
2015,2990,084,0M86,Belmont/Wilton Re-Landscaping Project,32000,,,
2015,2926,084,0598,Bicycle Parking Donations Program,150000,150000,,150000
2015,2835,084,0M46,Bridge Funds (HBRRP) - Federal,4000000,,,
2015,2836,084,0M46,Bridge Funds (HBRRP) - State,1000000,,,
2015,2880,084,0M54,Bridge Maintenance - IDOT,600000,,,
2015,2880,084,0L04,Bridge Maintenance - IDOT,,600000,,600000
2015,2941,084,0863,Calumet Environmental Center / IL First Carryover,1643000,,,
2015,2957,084,0P29,Chicago Area Plug-In Electric Vehicle Support Project,205000,,205000,205000
